Season,Year,Month,Holiday,Weekday,Workingday,Weather,Temperature,Humidity,Windspeed
3,1,8,0,4,1,1,0.706667,0.590417,0.0771167
4,0,10,0,6,0,2,0.41,0.75375,0.292296
2,1,6,0,1,1,1,0.5975,0.487083,0.284833
3,0,9,0,3,1,3,0.599167,0.917083,0.0970208
1,1,2,0,5,1,2,0.280833,0.54,0.11692899999999999
3,0,9,0,0,0,1,0.709167,0.742083,0.206467
4,1,11,1,1,0,1,0.485,0.741667,0.173517
3,1,7,0,3,1,1,0.716667,0.633333,0.15173299999999998
3,0,7,0,4,1,1,0.75,0.65125,0.1592
3,1,8,0,4,1,1,0.755833,0.620417,0.1561
4,0,10,0,2,1,1,0.471667,0.622917,0.166658
3,0,9,0,4,1,2,0.5775,0.709167,0.271146
3,0,9,0,6,0,1,0.66,0.75375,0.153608
2,1,4,0,4,1,1,0.435,0.374167,0.219529
1,1,3,0,1,1,1,0.466667,0.489167,0.207713
1,0,3,0,2,1,1,0.266667,0.535,0.216425
2,1,4,0,0,0,1,0.458333,0.587083,0.116908
2,0,5,0,6,0,1,0.655833,0.729583,0.23009200000000002
2,0,5,0,5,1,2,0.5125,0.863333,0.179725
3,1,8,0,4,1,1,0.695833,0.635833,0.08459580000000001
1,0,1,0,4,1,1,0.165,0.47041700000000003,0.301
1,1,12,0,5,1,2,0.326667,0.556667,0.37438299999999997
1,0,2,0,0,0,1,0.31652199999999997,0.457391,0.260883
2,1,6,0,3,1,1,0.7825,0.592083,0.11381199999999998
1,0,1,1,1,0,2,0.175833,0.5375,0.194017
3,1,7,0,5,1,1,0.781667,0.594583,0.15299200000000002
1,0,3,0,4,1,1,0.19833299999999998,0.318333,0.225754
1,1,2,0,0,0,2,0.28,0.515833,0.253112
2,1,6,0,0,0,1,0.6025,0.49333299999999997,0.184087
2,1,5,0,4,1,1,0.655,0.716667,0.172896
4,1,11,0,0,0,1,0.245833,0.468333,0.1505
3,0,6,0,4,1,2,0.728333,0.703333,0.238804
4,0,10,0,2,1,2,0.566667,0.80875,0.143042
3,0,8,0,1,1,1,0.771667,0.550833,0.156717
