"","Season","Year","Month","Holiday","Weekday","Workingday","Weather","Temperature","Atemperature","Humidity","Windspeed","Count"
"2","Spring","2011","Jan","0","0","0","Cloudy",0.363478,0.353739,0.696087,0.248539,801
"5","Spring","2011","Jan","0","3","1","Clear",0.226957,0.22927,0.436957,0.1869,1600
"10","Spring","2011","Jan","0","1","1","Clear",0.150833,0.150888,0.482917,0.223267,1321
"11","Spring","2011","Jan","0","2","1","Cloudy",0.169091,0.191464,0.686364,0.122132,1263
"13","Spring","2011","Jan","0","4","1","Clear",0.165,0.150883,0.470417,0.301,1406
"15","Spring","2011","Jan","0","6","0","Cloudy",0.233333,0.248112,0.49875,0.157963,1248
"16","Spring","2011","Jan","0","0","0","Clear",0.231667,0.234217,0.48375,0.188433,1204
"17","Spring","2011","Jan","1","1","0","Cloudy",0.175833,0.176771,0.5375,0.194017,1000
"18","Spring","2011","Jan","0","2","1","Cloudy",0.216667,0.232333,0.861667,0.146775,683
"20","Spring","2011","Jan","0","4","1","Cloudy",0.261667,0.25505,0.538333,0.195904,1927
"22","Spring","2011","Jan","0","6","0","Clear",0.0591304,0.0790696,0.4,0.17197,981
"24","Spring","2011","Jan","0","1","1","Clear",0.0973913,0.11793,0.491739,0.15833,1416
"26","Spring","2011","Jan","0","3","1","Light Snow",0.2175,0.2036,0.8625,0.29385,506
"37","Spring","2011","Feb","0","0","0","Clear",0.285833,0.291671,0.568333,0.1418,1623
"44","Spring","2011","Feb","0","0","0","Clear",0.316522,0.324113,0.457391,0.260883,1589
"45","Spring","2011","Feb","0","1","1","Clear",0.415,0.39835,0.375833,0.417908,1913
"47","Spring","2011","Feb","0","3","1","Clear",0.318261,0.3162,0.423478,0.251791,2115
"52","Spring","2011","Feb","1","1","0","Cloudy",0.303333,0.284075,0.605,0.307846,1107
"55","Spring","2011","Feb","0","4","1","Cloudy",0.295652,0.289191,0.697391,0.250496,1807
"58","Spring","2011","Feb","0","0","0","Clear",0.343478,0.351109,0.68,0.125248,2402
"59","Spring","2011","Feb","0","1","1","Cloudy",0.407273,0.400118,0.876364,0.289686,1446
"64","Spring","2011","Mar","0","6","0","Cloudy",0.384167,0.378779,0.789167,0.251871,2077
"69","Spring","2011","Mar","0","4","1","Light Snow",0.389091,0.385668,0,0.261877,623
"70","Spring","2011","Mar","0","5","1","Cloudy",0.316522,0.305,0.649565,0.23297,1977
"74","Spring","2011","Mar","0","2","1","Cloudy",0.317391,0.318178,0.655652,0.184309,2056
"76","Spring","2011","Mar","0","4","1","Clear",0.415,0.410333,0.602917,0.209579,2744
"82","Summer","2011","Mar","0","3","1","Cloudy",0.346957,0.337939,0.839565,0.234261,2121
"89","Summer","2011","Mar","0","3","1","Cloudy",0.3,0.29735,0.646667,0.172888,1536
"91","Summer","2011","Apr","0","5","1","Cloudy",0.3,0.283454,0.68625,0.258708,2227
"93","Summer","2011","Apr","0","0","0","Clear",0.378333,0.378767,0.48,0.182213,3249
"96","Summer","2011","Apr","0","3","1","Clear",0.390833,0.387608,0.470833,0.263063,2808
"97","Summer","2011","Apr","0","4","1","Clear",0.4375,0.433696,0.602917,0.162312,3141
"98","Summer","2011","Apr","0","5","1","Cloudy",0.335833,0.324479,0.83625,0.226992,1471
"101","Summer","2011","Apr","0","1","1","Cloudy",0.595652,0.565217,0.716956,0.324474,3348
"105","Summer","2011","Apr","1","5","0","Clear",0.446667,0.441913,0.67125,0.226375,3126
"116","Summer","2011","Apr","0","2","1","Clear",0.631667,0.594083,0.729167,0.3265,4400
"117","Summer","2011","Apr","0","3","1","Cloudy",0.62,0.575142,0.835417,0.3122,3872
"118","Summer","2011","Apr","0","4","1","Cloudy",0.6175,0.578929,0.700833,0.320908,4058
"127","Summer","2011","May","0","6","0","Clear",0.52,0.512621,0.54125,0.16045,4714
"129","Summer","2011","May","0","1","1","Clear",0.5325,0.525246,0.58875,0.176,4362
"130","Summer","2011","May","0","2","1","Clear",0.5325,0.522721,0.489167,0.115671,4803
